post_id,one_comment_id,author,content,time,ip
2,5,我是帅哥166,跟谁合作不用出，听说维新很喜欢以前公明以为在内阁的位置[并不简单],2025-10-16 11:25:00,来自福建
2,5,王尔德的莎乐美23,,2025-10-16 11:38:00,来自山东
4,3,"镜子杂谈
",,2025-10-16 08:35:00,来自加拿大
4,3,"qub奥
",黄川粉看到怕是更支持了，他们很多都是逆向种族主义者,2025-10-15 15:35:00,来自四川
5,5,"心心心已歇驰求
",混不下去了经济危机即将到来,2025-10-16 01:19:00,来自江苏
1,1,ATangspx,明年11月,2025-10-16 09:26:00,来自广西
1,1,"暗__丘
",,2025-10-16 09:06:00,来自广东
1,1,用户7995421147,明年年底,2025-10-16 09:03:00,来自湖南
1,1,,,,
8,5,"布丁-阿布
",很常见[无聊],2025-10-15 13:14:00,来自加拿大
8,5,"一朵小红花2026
",一直都有,2025-10-14 12:45:00,来自天津
8,5,-菊花茶-,一直都有购[666],2025-10-14 10:55:00,来自广东
8,12,"抓不住的爸爸
",真正的王炸是台湾牌，如果美国在台湾问题上出牌很有可能会让美国的盟友体系崩塌，种种迹象表明大陆在等他出牌,2025-10-16 08:09:00,来自江苏
1,9,"银川驿站一般卒
",你说错了，稀土是鸭胗。不是鸭肉。,2025-10-14 19:03:00,来自北京
1,9,"kuma家螃蟹
",,2025-10-14 19:05:00,来自广东
1,5,"法国漂
",不能每次都贴吧[doge],2025-10-15 15:47:00,来自北京
1,5,"哈柒八嗒
",[喵喵],2025-10-15 15:48:00,来自江苏
8,10,"夫子之文
",一个是侵略者，一个是被侵略者！`,2025-10-15 20:24:00,来自浙江
4,1,只为了明天的生活,那可太好了，终于可以报仇,2025-10-15 22:13:00,来自广东
4,1,"虚假魔法贝阿朵
",彻底变成欧洲那样的傀儡[摊手],2025-10-15 19:46:00,来自北京
4,1,"幽靈船盛亞
",[不愧是你],2025-10-15 19:29:00,来自中国台湾
4,1,"南云忠一的赛博航母
",哪来的右翼啊？维新也差不多其实,2025-10-15 19:28:00,来自日本
1,9,"波谷秋月
",乌克兰财政已经崩溃，全靠美欧援助撑着，援助款要发，经过泽圣的手。所以还是能管一部分的，发工资的人都会听泽圣的。泽圣不给钱的，那就听招不听宣了。,2025-10-15 16:58:00,来自浙江
2,4,"索望遥柚木
",说不好，至少四六个血统混的,2025-10-16 06:59:00,来自上海
2,4,白晓肚,阿三至少一半[doge],2025-10-16 10:47:00,来自江苏
2,6,"WandererRnse
",西班牙倒是有点独立了,2025-10-16 09:57:00,来自四川
2,6,"雨落无声55555
",梅洛尼：站队预备[吃瓜],2025-10-16 07:57:00,来自吉林
1,3,用户6143139713,10全系都要换，趁早打折出手，赚一波,2025-10-16 00:13:00,来自广西
1,6,"月影幽竹007
",他们还是有机会的，过几年估计美国海军得找他们造军舰了——就是不知道老美会不会要求赊账[doge],2025-10-14 12:10:00,来自辽宁
6,15,棒泥棒棒棒,也不全是，新加坡想做中国的香港，吃印度增长的红利，资金贸易集散地，可印度支楞不起来,2025-10-15 12:23:00,来自天津
6,15,何几爱好者,,2025-10-15 13:36:00,来自北京
2,8,用户9941261138,[黄鸡大笑],2025-10-16 10:22:00,来自广东
2,8,"做个鳄鱼
",,2025-10-15 12:53:00,来自山东
2,8,"最硬的伤是智商
",表术有误。应该是狗儿子,2025-10-15 12:52:00,来自辽宁
7,1,时间与爱为敌,都是暴利啊，还是他们真正的强项，还相辅相成,2025-10-15 15:40:00,来自广东
2,8,"VivianGardenerII
",就是只有他们能生存，别人不能生存。,2025-10-15 13:03:00,来自上海
3,2,"qwop1290
","心存幻想,本是好事,它能让人下定改变现状的决心。为了移民,她改学护士手艺,抵加后却找不到护士工作,只能再去上护理课。所谓护理,在中国叫护工,服侍没有自理能力的人,是最辛苦的保姆。读下证书果然一找就中,生活有了着落,住进廉租房,儿子总算可以就近受西方教育,她很幸福,所以对人讲述了她的""迁徙""",2025-10-14 18:24:00,来自辽宁
1,11,"枯枝生新叶朽木再逢春
",哈马斯自己就是这么表态的,2025-10-16 11:27:00,来自北京
2,13,Quasi0995,哈哈哈哈,2025-10-16 19:35:00,来自上海
1,1,"伦敦路的虎先锋
",书店里那些写以色列犹太相关书籍的人有一个算一个,2025-10-15 09:35:00,来自江苏
2,10,"沉默归宿-V
",,2025-10-16 13:19:00,来自上海
2,3,"laozhang0009
",,2025-10-15 09:32:00,来自河南
2,3,"礼卡九斯
",,2025-10-15 09:28:00,来自辽宁
2,3,"laozhang0009
",[鼓掌],2025-10-15 09:27:00,来自河南
2,3,"礼卡九斯
",,2025-10-15 09:25:00,来自辽宁
2,3,"laozhang0009
",,2025-10-15 09:22:00,来自河南
2,3,"礼卡九斯
",,2025-10-15 08:33:00,来自辽宁
2,3,"礼卡九斯
",,2025-10-15 08:32:00,来自辽宁
2,3,"我是尼阿霸
",,2025-10-15 08:32:00,来自浙江
2,3,"我是尼阿霸
",[赞],2025-10-15 08:31:00,来自浙江
2,3,"我是尼阿霸
",,2025-10-15 08:30:00,来自浙江
2,3,"礼卡九斯
",[笑cry],2025-10-15 08:29:00,来自辽宁
2,3,"礼卡九斯
",,2025-10-15 08:29:00,来自辽宁
2,3,"我是尼阿霸
",,2025-10-15 08:29:00,来自浙江
2,3,"礼卡九斯
",[doge],2025-10-15 08:28:00,来自辽宁
1,2,我是帅哥166,[doge],2025-10-15 09:17:00,来自福建
1,2,"南云忠一的赛博航母
",,2025-10-15 09:15:00,来自日本
1,2,我是帅哥166,好像高市今天也要和国民和维新会谈，玉木摇摆不定，维新像自民抛媚眼[并不简单],2025-10-15 09:14:00,来自福建
